Method,LOC,V,v(G),MI
org.apache.commons.configuration2.BaseHierarchicalConfiguration.cloneNodeModel(),11,15,1,68.91358803
org.apache.commons.configuration2.BaseHierarchicalConfiguration.configurationAt(String),10,11,1,70.75968776
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.configurationAt(String,boolean)",32,46,2,55.25505445
org.apache.commons.configuration2.BaseHierarchicalConfiguration.configurationsAt(String),29,87,2,54.24975751
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.configurationsAt(String,boolean)",26,97,2,54.95341462
org.apache.commons.configuration2.BaseHierarchicalConfiguration.createChangeListener(),5,19,1,75.66434101
org.apache.commons.configuration2.BaseHierarchicalConfiguration.createConnectedSubConfiguration(String),16,34,1,62.87543156
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.createConnectedSubConfigurations(InMemoryNodeModelSupport,Collection<NodeSelector>)",22,44,2,58.93995682
org.apache.commons.configuration2.BaseHierarchicalConfiguration.createIndependentSubConfiguration(String),24,100,2,55.61908946
org.apache.commons.configuration2.BaseHierarchicalConfiguration.createIndependentSubConfigurationForNode(ImmutableNode),16,20,1,64.48903794
org.apache.commons.configuration2.BaseHierarchicalConfiguration.createNodeModel(HierarchicalConfiguration<ImmutableNode>),16,34,2,62.74092864
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.createSubConfigurationForTrackedNode(NodeSelector,InMemoryNodeModelSupport)",19,34,1,61.2473765
org.apache.commons.configuration2.BaseHierarchicalConfiguration.createSubsetRootNode(Collection<QueryResult<ImmutableNode>>),39,255,5,47.76943327
org.apache.commons.configuration2.BaseHierarchicalConfiguration.fetchFilteredNodeResults(String),11,26,1,67.2409325
org.apache.commons.configuration2.BaseHierarchicalConfiguration.getNodeModel(),9,8,1,72.72623733
org.apache.commons.configuration2.BaseHierarchicalConfiguration.getSubConfigurationNodeSelector(String),16,8,1,67.27541911
org.apache.commons.configuration2.BaseHierarchicalConfiguration.getSubConfigurationParentModel(),13,4,1,71.35034487
org.apache.commons.configuration2.BaseHierarchicalConfiguration.immutableChildConfigurationsAt(String),12,11,1,69.03243091
org.apache.commons.configuration2.BaseHierarchicalConfiguration.immutableConfigurationAt(String),13,11,1,68.27413157
"org.apache.commons.configuration2.BaseHierarchicalConfiguration.immutableConfigurationAt(String,boolean)",12,19,1,67.37042666
org.apache.commons.configuration2.BaseHierarchicalConfiguration.immutableConfigurationsAt(String),12,11,1,69.03243091
org.apache.commons.configuration2.BaseHierarchicalConfiguration.initSubConfiguration(BaseHierarchicalConfiguration),15,66,1,61.46981408
org.apache.commons.configuration2.BaseHierarchicalConfiguration.initSubConfigurationForThisParent(SubnodeConfiguration),14,22,1,65.46424006
org.apache.commons.configuration2.BaseHierarchicalConfiguration.interpolatedConfiguration(),22,70,1,57.66253626
org.apache.commons.configuration2.BaseHierarchicalConfiguration.obtainRootNode(HierarchicalConfiguration<ImmutableNode>),12,19,1,67.37042666
org.apache.commons.configuration2.BaseHierarchicalConfiguration.subnodeConfigurationChanged(ConfigurationEvent),13,22,1,66.16631559
org.apache.commons.configuration2.BaseHierarchicalConfiguration.subset(String),5,197,3,68.28330201
org.apache.commons.configuration2.BaseHierarchicalConfiguration.toImmutable(List<? extends HierarchicalConfiguration<?>>),17,50,2,60.99381532
org.apache.commons.configuration2.BaseNonStringProperties.testBoolean(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testBooleanArrayValue(),7,57,1,69.1359
org.apache.commons.configuration2.BaseNonStringProperties.testBooleanDefaultValue(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testByte(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testByteArrayValue(),8,70,1,67.24612384
org.apache.commons.configuration2.BaseNonStringProperties.testDouble(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testDoubleArrayValue(),8,77,1,66.95629171
org.apache.commons.configuration2.BaseNonStringProperties.testDoubleDefaultValue(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testFloat(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testFloatArrayValue(),8,81,1,66.80228738
org.apache.commons.configuration2.BaseNonStringProperties.testFloatDefaultValue(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testInteger(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testIntegerArrayValue(),7,60,1,68.97992039
org.apache.commons.configuration2.BaseNonStringProperties.testIntegerDefaultValue(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testIsEmpty(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testListMissing(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testLong(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testLongArrayValue(),7,60,1,68.97992039
org.apache.commons.configuration2.BaseNonStringProperties.testLongDefaultValue(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testShort(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testShortArrayValue(),7,60,1,68.97992039
org.apache.commons.configuration2.BaseNonStringProperties.testShortDefaultValue(),5,11,1,77.32634526
org.apache.commons.configuration2.BaseNonStringProperties.testSubset(),5,11,1,77.32634526
org.apache.commons.configuration2.CombinedConfiguration.CombinedConfiguration(),10,8,1,71.72808507
org.apache.commons.configuration2.CombinedConfiguration.CombinedConfiguration(NodeCombiner),12,22,2,66.790112
"org.apache.commons.configuration2.CombinedConfiguration.ConfigData.ConfigData(Configuration,String,String)",15,36,1,63.31303407
org.apache.commons.configuration2.CombinedConfiguration.ConfigData.getAt(),9,4,1,74.83405332
org.apache.commons.configuration2.CombinedConfiguration.ConfigData.getConfiguration(),9,4,1,74.83405332
org.apache.commons.configuration2.CombinedConfiguration.ConfigData.getName(),9,4,1,74.83405332
org.apache.commons.configuration2.CombinedConfiguration.ConfigData.getRootNode(),10,4,1,73.83590106
org.apache.commons.configuration2.CombinedConfiguration.ConfigData.getRootNodeOfConfiguration(),25,68,1,56.5396325
